,Raw name,Mapped name,Score
443,acg  automatismes,aai  atlantique automatismes incendie,0.6814159292035398
444,acg solutions,acg  automatismes,1.0
445,acg systems inc,acg  automatismes,1.0
446,acg systems inc,acg  automatismes,1.0
447,ach sellerie tapisserie,ach sellerie tapisserie,1.0
448,achats service ile de france,ab engineering mechanical service division limited,0.9082788323496571
449,achgelis schweisstechnik,achgelis schweisstechnik,1.0
450,achieve hire group,achieve hire group,1.0
451,achilles information,achilles information,1.0
452,achilles information ltd,achilles information,1.0
453,achtelfelf das taxi gmbh,achtelfelf das taxi gmbh,1.0
454,aci academy of competitive intelligence,aapa  association of asia pacific,0.5916178421726214
455,aci elevation,aci academy of competitive intelligence,0.8852459016393441
456,aci financial markets association,aci academy of competitive intelligence,0.6405529953917051
457,aci industriearmaturen gmbh,aci academy of competitive intelligence,0.8831168831168831
458,acial,acial,1.0
459,acias ev,acias ev,1.0
460,acies,acies,1.0
461,acil,acil,1.0
462,acim jouanin,acim jouanin,1.0
463,acimex,acimex,1.0
464,aciturri,aciturri,1.0
465,aciturri assembly sau,accuracy sau,0.41120472336473396
466,aciturri composites slu,ab servicos selecta espana slu,0.6717325227963526
467,ackermann interntional,ackermann interntional,1.0
468,aclabsur,aclabsur,1.0
469,aclabsur slp,aclabsur,0.5294117647058824
470,aclawerke gmbh,aclawerke gmbh,1.0
471,acm,acm,1.0
472,acma ecars sl,acma ecars sl,1.0
473,acma ecars sl,acma ecars sl,1.0
474,acma gmbh,acma ecars sl,1.0
475,acme industrieservice,acme industrieservice,1.0
476,acmh  ateliers construction,acmh  ateliers construction,1.0
477,acn,acn,1.0
478,acobur asesores sl,aa asesores internacionales sc,0.75
479,acolada,acolada,1.0
480,acolada gmbh,acolada,1.0
481,acompany,acompany,1.0
482,acoris sarl,acoris sarl,1.0
483,acorn industrial services ltd,abbey industrial solutions ltd,0.9518413597733711
484,acos printing,acos printing,1.0
485,acoser maquinas de coser sl,acoser maquinas de coser sl,1.0
486,acoustical analysis associates inc,a pasari  associates,0.7427184466019418
487,acp coaching,acp coaching,1.0
488,acp spp,acp coaching,0.7717391304347825
489,acpi,acpi,1.0
490,acq international bv,aan bv,0.576253317337405
491,acq international bv,aan bv,0.576253317337405
492,acqpa,acqpa,1.0
493,acqua jet,acqua jet,1.0
494,acquajet semae sl,acquajet semae sl,1.0
495,acquip inc,acquip inc,1.0
496,acquisys,acquisys,1.0
497,acr,acr,1.0
498,acr chiller rent gmbh,acr chiller rent gmbh,0.5454545454545454
499,acra,acra,1.0
500,acra control,acra control,0.5945945945945946
501,acra control limited,acra control,0.5601851851851852
502,acra control ltd,acra control,0.5761757251478458
503,acra control ltd ta curtiss wright,acra control,0.4662452860253891
504,acreo swedish ict ab,ab engineering mechanical service division limited,0.9078590785907859
505,acro demenagements,acap demenagements,0.7610738255033557
506,acrodur industrie,acrodur industrie,1.0
507,acrolinx gmbh,acrolinx gmbh,1.0
508,acs,acs,1.0
509,acs coating systems gmbh,acs,0.8472222222222222
510,acscontrolsystem gmbh,acscontrolsystem gmbh,1.0
511,acseo,acseo,1.0
512,acsg gmbh  co kg,acsg gmbh  co kg,1.0
513,acsia  agence comptable des,acsia  agence comptable des,1.0
514,acsoft ltd,acsoft ltd,1.0
515,acss,acss,1.0
516,acssi,acssi,1.0
517,acsys lasertechnik gmbh,acsys lasertechnik gmbh,1.0
518,acsysteme,acsysteme,1.0
519,act administration limited,act administration limited,1.0
520,act administration ltd,act administration limited,1.0
521,act administration,act administration limited,1.0
522,act engineering,act administration limited,1.0
523,act leadership llc,act administration limited,0.918552036199095
524,act rmc,act administration limited,0.9296875
525,acte1,acte1,1.0
526,acteis  scp davocats,acteis  scp davocats,1.0
527,actemium fournie grospaud industrie,acrodur industrie,0.8106343283582089
528,actemium gtie atlantis,actemium fournie grospaud industrie,0.7768924302788844
529,actemium rennes,actemium fournie grospaud industrie,0.8796296296296298
530,actemium uk,actemium fournie grospaud industrie,1.0
531,acti conseils,acti conseils,1.0
532,actia,actia,1.0
533,actia group,actia,1.0
534,actia telecom,a novo telecom services,0.7
535,actian,actian,1.0
536,actian france,actian,1.0
537,actian germany gmbh,accor hospitality germany gmbh,0.810606696316187
538,actice angelica cristian,actice angelica cristian,1.0
539,acticom gmbh,acticom gmbh,1.0
540,acticonseils,acticonseils,1.0
541,actides water solutions gmbh,actides water solutions gmbh,1.0
542,actidyn,actidyn,1.0
543,actidyn systemes,actidyn systemes,0.7163828537874339
544,actidyn systemes sa,actidyn systemes,0.7104186469397032
545,actif signal,actif signal,1.0
546,actility sa,actility sa,1.0
547,actiman,actiman,1.0
548,actiman location,actiman,0.5380742871647348
549,actiman sas,actiman,1.0
550,actimman,actimman,1.0
551,actinuum,actinuum,1.0
552,action  funtours,action  funtours,1.0
553,action conseil demenagement,ab conseil,0.6201182744703297
554,action logement services,action  funtours,0.874439461883408
555,action ndt,action  funtours,0.7491289198606271
556,action on hearing loss ltd,action  funtours,0.6032388663967612
557,actionndt,actionndt,1.0
558,actipro,actipro,1.0
559,actis business partners bv,aan bv,0.5575752797404252
